"CodInsc","Inscricao","Codigo","Semestre","Ano","Status","Freq","Nota","Obs","Carga","Creditos"
28,6,11,"1","2003","Aprovado","Suficiente",7.69999980926514,"Metod da Pesq Científica MPM.S02002",30,2
29,6,12,"1","2003","Aprovado","Suficiente",10,"Seminário de Estudos ... MPM.SO3002 ",90,6
30,6,14,"1","2003","Aprovado","Suficiente",10,"Estágio Docente do Mestrado - MPM.S04001",60,4
31,6,16,"1","2003","Aprovado","Suficiente",8.19999980926514,"MPM.S02003",30,2
32,6,19,"2","2003","Aprovado","Suficiente",10,"Nefropatia Diabética - MPMS.02008 ",30,2
33,6,32,"1","2005","Aprovado","Suficiente",,"MPM.S20001",600,40
34,7,9,"1","2004","Aprovado","Suficiente",8.19999980926514,"",30,2
35,7,10,"1","2004","Aprovado","Suficiente",7,"",60,4
36,7,14,"2","2004","Aprovado","Suficiente",10,"",60,4
37,7,11,"1","2004","Aprovado","Suficiente",8.69999980926514,"",30,2
38,7,12,"2","2004","Aprovado","Suficiente",10,"",150,10
39,7,13,"1","2004","Aprovado","Suficiente",9.5,"",60,4
40,7,25,"1","2004","Aprovado","Suficiente",10,"",60,4
41,7,32,"1","2006","Aprovado","Suficiente",,"",600,40
42,8,9,"1","2003","Aprovado","Suficiente",7,"MPM.S02001 - Bioestatística",30,2
43,8,10,"1","2003","Aprovado","Suficiente",8.5,"MPM.S04002 - Princípios de Epidemiologia",60,4
44,8,14,"1","2003","Aprovado","Suficiente",10,"MPM.S04001 - Estágio Docente do Mestrado",60,4
45,8,11,"2","2003","Aprovado","Suficiente",8.39999961853027,"MPM.S02002 - Met. da Pesquisa Científica",30,2
46,8,12,"1","2003","Aprovado","Suficiente",10,"MPM.S03002-Seminário de Est.Tem. C. Med ",90,6
47,8,21,"1","2003","Aprovado","Suficiente",10,"MPM.S02005",30,2
48,8,13,"1","2003","Aprovado","Suficiente",8,"MPM.S04003-Semin. de Pesq. do Mestrado",60,4
49,8,26,"2","2004","Aprovado","Suficiente",9.5,"",30,2
50,8,32,"2","2005","Aprovado","Suficiente",,"",600,40
51,9,9,"1","2003","Aprovado","Suficiente",9.80000019073486,"MPM.S02001- Bioestatística",30,2
52,9,10,"1","2003","Aprovado","Suficiente",6.5,"MPM.S04002 - Princípios de Epidemiologia",60,4
53,9,14,"1","2003","Aprovado","Suficiente",9.80000019073486,"MPM.S04001 - Estágio Docente do Mestrado",60,4
54,9,11,"1","2003","Aprovado","Suficiente",7,"MPM.S02002 - Met. da Pesq. Científica",30,2
55,9,12,"1","2003","Aprovado","Suficiente",9,"MPM.S03002 - Seminário Est.Tem Cie.Med",90,6
56,9,22,"2","2003","Aprovado","Suficiente",9.5,"MPM.S03001",45,3
57,9,13,"2","2003","Aprovado","Suficiente",8,"MPM.S04003 - Sem. Pesquisa do Mestrado",60,4
58,9,32,"2","2005","Aprovado","Suficiente",,"MPM.S20001",600,40
59,5,32,"2","2007","Aprovado","Suficiente",,"",510,34
60,10,9,"1","2005","Aprovado","Suficiente",7.80000019073486,"",30,2
61,10,10,"1","2005","Aprovado","Suficiente",7,"",60,4
62,10,11,"2","2004","Aprovado","Suficiente",6.59999990463257,"",30,2
63,10,12,"2","2004","Aprovado","Suficiente",10,"",150,10
64,10,13,"2","2005","Aprovado","Suficiente",7,"",60,4
65,10,32,"2","2006","Aprovado","Suficiente",,"",600,40
66,11,9,"2","2004","Aprovado","Suficiente",8.5,"",30,2
67,11,10,"2","2004","Aprovado","Suficiente",7.5,"",60,4
68,11,11,"2","2004","Aprovado","Suficiente",8,"",30,2
69,11,12,"2","2004","Aprovado","Suficiente",10,"",150,10
70,11,13,"2","2004","Aprovado","Suficiente",8,"",60,4
71,11,17,"2","2004","Aprovado","Suficiente",9.69999980926514,"",60,4
72,11,14,"1","2005","Aprovado","Suficiente",9,"",60,4
73,11,32,"2","2006","Aprovado","Suficiente",,"",600,40
74,12,9,"1","2004","Aprovado","Suficiente",8.5,"",30,2
75,12,10,"1","2004","Aprovado","Suficiente",7,"",60,4
76,12,11,"1","2004","Aprovado","Suficiente",9.60000038146973,"",30,2
77,12,14,"2","2004","Aprovado","Suficiente",9,"",60,4
78,12,12,"2","2004","Aprovado","Suficiente",10,"",150,10
79,12,13,"1","2004","Aprovado","Suficiente",8.5,"",60,4
80,12,32,"2","2005","Aprovado","Suficiente",,"",600,40
81,13,9,"1","2003","Aprovado","Suficiente",7,"MPM.S02001-Bioestatística",30,2
82,13,10,"1","2003","Aprovado","Suficiente",8,"MPM.S04002-Princípios de Epidemiologia",60,4
83,13,11,"1","2003","Aprovado","Suficiente",8.5,"MPM.S02002-Met. da Pesquisa Científica",30,2
84,13,14,"1","2003","Aprovado","Suficiente",10,"MPM.S04001-Est.Doc. do Mestrado",60,4
85,13,12,"1","2003","Aprovado","Suficiente",10,"MPM.S03002-Seminario de Est.Tem. Cie.Med",90,6
86,13,17,"2","2003","Aprovado","Suficiente",9.19999980926514,"MPM.S02009",60,4
87,13,13,"1","2003","Aprovado","Suficiente",8,"MPM.S04003-Sem Pesq. do Mestrado",60,4
88,13,23,"2","2003","Aprovado","Suficiente",6,"MPM.S03003",45,3
89,13,32,"1","2005","Aprovado","Suficiente",,"MPM.S20001",600,40
90,14,9,"1","2003","Aprovado","Suficiente",9.5,"MPM.S02001-Bioestatística",30,2
91,14,10,"1","2003","Aprovado","Suficiente",8,"MPM.S04002-Princípios de Epidemiologia",60,4
92,14,14,"1","2003","Aprovado","Suficiente",10,"MPM.S04001-Estágio Docente do Mestrado",60,4
93,14,11,"1","2003","Aprovado","Suficiente",9.19999980926514,"MPM.S02002-Met.Pesq.Científica",30,2
94,14,12,"1","2003","Aprovado","Suficiente",9.5,"MPM.S03002-Seminarios de Est.Tem.Cie.Med",90,6
95,14,22,"2","2003","Aprovado","Suficiente",9.5,"MPM.S03001",45,3
96,14,13,"2","2003","Aprovado","Suficiente",8,"MPM.S04003-Sem.de Pesq.do Mestrado",60,4
97,14,32,"1","2005","Aprovado","Suficiente",,"MPM.S20001",600,40
98,15,9,"1","2003","Aprovado","Suficiente",7,"MPM.S02001-Bioestatística",30,2
99,15,10,"1","2003","Aprovado","Suficiente",7.30000019073486,"MPM.S04002-Princípios de Epidemiologia",60,4
100,15,14,"1","2003","Aprovado","Suficiente",10,"MPM.S04001-Estágio Docente do Mestrado",60,4
101,15,11,"2","2003","Aprovado","Suficiente",9.60000038146973,"MPM.S02002-Met.da Pesq.Científica",30,2
102,15,12,"1","2003","Aprovado","Suficiente",10,"MPM.S03002-Seminário de Est.Tem.Cie.Med",90,6
103,15,21,"1","2003","Aprovado","Suficiente",10,"MPM.S02005",30,2
104,15,13,"1","2003","Aprovado","Suficiente",8,"MPM.S04003-Sem.Pesq.do Mestrado",60,4
105,15,26,"2","2004","Aprovado","Suficiente",9.5,"",30,2
106,15,32,"2","2005","Aprovado","Suficiente",,"MPM.S20001",600,40
107,16,9,"2","2004","Aprovado","Suficiente",7.90000009536743,"",30,2
108,16,10,"2","2004","Aprovado","Suficiente",6,"",60,4
109,16,11,"2","2004","Aprovado","Suficiente",10,"",30,2
110,16,12,"2","2004","Aprovado","Suficiente",10,"",150,5
111,16,13,"2","2004","Aprovado","Suficiente",8,"",60,4
112,16,17,"2","2004","Aprovado","Suficiente",7.90000009536743,"",60,2
113,16,14,"2","2004","Aprovado","Suficiente",10,"Estágio Docente do Mestrado",60,2
114,16,24,"2","2004","Aprovado","Suficiente",10,"",90,3
115,16,32,"2","2006","Aprovado","Suficiente",,"",600,20
116,17,14,"2","2003","Aprovado","Suficiente",10,"MPM.S04001-Estágio Docente do Mestrado",60,4
117,17,12,"2","2003","Aprovado","Suficiente",10,"MPM.S03002-Seminários de Est.Tem.Cie.Med",90,6
118,17,13,"2","2003","Aprovado","Suficiente",9,"MPM.S04003- Semi. de Pesq do Mestrado",60,4
119,17,11,"1","2004","Aprovado","Suficiente",10,"MPM.S02002-Met.Pesq.Científica",30,2
120,17,9,"1","2004","Aprovado","Suficiente",8.39999961853027,"MPM.S02001-Bioestatística",30,2
121,17,10,"1","2004","Aprovado","Suficiente",7,"MPM.S04002-Princípios de Epidemiologia",60,4
122,17,21,"2","2003","Aprovado","Suficiente",9.5,"",30,2
123,17,32,"1","2006","Aprovado","Suficiente",,"MPM.S20001",600,40
124,18,10,"1","2003","Aprovado","Suficiente",7,"MPM.S04002-Princípios de Epidemiologia",60,4
125,18,9,"1","2003","Aprovado","Suficiente",9.30000019073486,"MPM.S02001-Bioestatística",30,2
126,18,11,"1","2003","Aprovado","Suficiente",10,"MPM.S02002-Metod.Pesq.Científica",30,2
127,18,12,"1","2003","Aprovado","Suficiente",10,"MPM.S03002-Seminário de Est.Tem.Cie.Med",90,6
128,18,14,"2","2003","Aprovado","Suficiente",10,"MPM.S04001-Estágio Docente do Mestrado",60,4
129,18,13,"2","2003","Aprovado","Suficiente",10,"MPM.S04003-Seminário de Pesq do Mestrado",60,4
130,18,32,"1","2004","Aprovado","Suficiente",,"MPM.S20001",600,40
131,19,10,"1","2003","Aprovado","Suficiente",7.59999990463257,"MPM.S04002-Princípios de Epidemiologia",60,4
132,19,9,"1","2003","Aprovado","Suficiente",9.5,"MPM.S02001-Bioestatística",30,2
133,19,11,"1","2003","Aprovado","Suficiente",8.5,"MPM.S02002-Metod. Pesqu.Científica",30,2
134,19,12,"1","2003","Aprovado","Suficiente",10,"MPM.S03002-Seminário de Est.Tem.Cie.Med",90,6
135,19,14,"2","2003","Aprovado","Suficiente",10,"MPM.S04001-Estágio Docente do Mestrado",60,4
136,19,13,"2","2003","Aprovado","Suficiente",9.5,"MPM.S04003-Seminário de Pesq.do Mestrado",60,4
137,19,32,"1","2004","Aprovado","Suficiente",,"MPM.S20001",600,40
138,20,10,"1","2003","Aprovado","Suficiente",8,"MPM.S04002-Princípios de Epidemiologia",60,4
139,20,9,"1","2003","Aprovado","Suficiente",9,"MPM.S02001-Bioestatística",30,2
140,20,11,"1","2003","Aprovado","Suficiente",9.19999980926514,"MPM.S02002-Metod da Pesquisa Científica",30,2
141,20,15,"1","2003","Aprovado","Suficiente",9,"MPM.S02007",30,2
142,20,12,"1","2003","Aprovado","Suficiente",9,"MPM.S03002-Seminário de Est.Tem.Cie.Med",90,6
143,20,14,"1","2003","Aprovado","Suficiente",9,"MPM.S04001-Estágio Docente do Mestrado",60,4
144,20,13,"2","2003","Aprovado","Suficiente",9,"MPM.S04003-Semináro de Pesq do Mestrado",60,4
145,20,32,"1","2005","Aprovado","Suficiente",,"MPM.S20001",600,40
146,21,10,"1","2003","Aprovado","Suficiente",9,"MPM.S04002-Princípios de Epidemiologia",60,4
147,21,9,"1","2003","Aprovado","Suficiente",7.5,"MPM.S02001-Bioestatística",30,2
148,21,11,"1","2003","Aprovado","Suficiente",8.5,"MPM.S02002-Met.da Pesq. Científica",30,2
149,21,24,"2","2003","Aprovado","Suficiente",9,"MPM.S03004",90,6
150,21,12,"1","2003","Aprovado","Suficiente",10,"MPM.S03002-Seminário de Est.Tem.Cie.Med",90,6
151,21,14,"1","2003","Aprovado","Suficiente",10,"MPM.S04001-Estágio Docente do Mestrado",60,4
152,21,13,"1","2003","Aprovado","Suficiente",7,"MPM.S04003-Seminário de Pesq do Mestrado",60,4
153,21,32,"2","2004","Aprovado","Suficiente",,"MPM.S20001",600,40
154,22,9,"1","2004","Aprovado","Suficiente",8.19999980926514,"",30,2
155,22,10,"1","2004","Aprovado","Suficiente",7,"",60,4
156,22,14,"2","2004","Aprovado","Suficiente",8,"",60,4
157,22,11,"1","2004","Aprovado","Suficiente",7.59999990463257,"",30,2
158,22,12,"2","2004","Aprovado","Suficiente",9,"",150,10
159,22,17,"1","2004","Aprovado","Suficiente",7.90000009536743,"",60,4
160,22,13,"1","2004","Aprovado","Suficiente",9,"",60,4
161,22,23,"1","2004","Aprovado","Suficiente",10,"",45,3
162,22,25,"1","2004","Aprovado","Suficiente",8,"",60,4
163,22,32,"2","2005","Aprovado","Suficiente",,"",600,40
164,23,12,"1","2003","Aprovado","Suficiente",10,"MPM.S03002-Seminários de Est.Tem.Cie.Med",90,6
165,23,21,"1","2003","Aprovado","Suficiente",9.5,"MPM.S02005",30,2
166,23,14,"1","2003","Aprovado","Suficiente",10,"MPM.S04001-Estágio Docente do Mestrado",60,4
167,23,13,"2","2003","Aprovado","Suficiente",10,"MPM.S04003-Sem de Pesquisa do Mestrado",60,4
168,23,10,"1","2004","Aprovado","Suficiente",7,"MPM.S04002-Princípios de Epidemiologia",60,4
169,23,9,"1","2004","Aprovado","Suficiente",8.19999980926514,"MPM.S02001-Bioestatística",30,2
170,23,11,"1","2004","Aprovado","Suficiente",9.69999980926514,"MPM.S02002-Metodol da Pesq.Científica",30,2
171,23,32,"1","2005","Aprovado","Suficiente",,"MPM.S20001",600,40
172,24,13,"1","2003","Aprovado","Suficiente",10,"MPM.S04003: Sem de Pesquisa do Mestrado",60,4
173,24,12,"1","2003","Aprovado","Suficiente",10,"MPM.S03002-Sem.Est. Tem.Cie.Med",90,6
174,24,14,"1","2003","Aprovado","Suficiente",10,"MPM.S04001-Est.Doc. do Mestrado",60,4
175,24,16,"1","2003","Aprovado","Suficiente",9.5,"MPM.S02003",30,2
176,24,19,"2","2003","Aprovado","Suficiente",9,"MPMS.02008-Nefropatia Diabética",30,2
177,24,32,"2","2004","Aprovado","Suficiente",,"MPM.S20001",600,40
178,25,10,"1","2003","Aprovado","Suficiente",7.5,"MPM.S04002-Princípios de Epidemiologia",60,4
179,25,9,"1","2003","Aprovado","Suficiente",9.80000019073486,"MPM.S02001-Bioestatística",30,2
180,25,11,"1","2003","Aprovado","Suficiente",9.19999980926514,"MPM.S02002-Met.Pesq.Científica",30,2
181,25,12,"1","2003","Aprovado","Suficiente",10,"MPM.S03002-Seminário Est.Tem.Cie.Med",90,6
182,25,14,"1","2004","Aprovado","Suficiente",9.5,"MPM.S04001-Estágio Doc.do Mestrado",60,4
183,25,13,"1","2003","Aprovado","Suficiente",8,"MPM.S04003-Sem. Pesq. do Mestrado",60,4
184,25,16,"1","2003","Aprovado","Suficiente",9.5,"MPM.S02003",30,2
185,25,17,"2","2003","Aprovado","Suficiente",8.39999961853027,"MPM.S02009",60,4
186,25,32,"2","2005","Aprovado","Suficiente",,"MPM.S20001",600,40
187,26,10,"1","2003","Aprovado","Suficiente",8,"MPM.S04002-Princípios de Epidemiologia",60,4
188,26,9,"1","2003","Aprovado","Suficiente",9,"MPM.S02001-Bioestatística",30,2
189,26,11,"1","2003","Aprovado","Suficiente",8.5,"MPM.S02002-Met.Pesq.Científica",30,2
190,26,12,"1","2003","Aprovado","Suficiente",9,"MPM.S03002-Sem.Est.Tem.Cie.Med",90,6
191,26,14,"2","2003","Aprovado","Suficiente",9,"MPM.S04001-Estágio Doc do Mestrado",60,4
192,26,13,"1","2003","Aprovado","Suficiente",8,"MPM.S04003-Sem.Pesq.Mestrado",60,4
193,26,25,"2","2003","Aprovado","Suficiente",7.5,"MPM.S02010",30,2
194,26,32,"2","2005","Aprovado","Suficiente",,"MPM.S20001",600,40
195,27,10,"1","2003","Aprovado","Suficiente",6,"MPM.S04002-Princípios de Epidemiologia",60,4
196,27,9,"1","2003","Aprovado","Suficiente",8,"MPM.S02001-Bioestatística",30,2
197,27,11,"2","2003","Aprovado","Suficiente",7,"MPM.S02002-Met.Pesq.Médica",30,2
198,27,15,"1","2003","Aprovado","Suficiente",9,"MPM.S02007",30,2
199,27,12,"1","2003","Aprovado","Suficiente",9,"MPM.S03002-Seminário de Est.Tem.Cie.Med.",90,6
200,27,14,"1","2003","Aprovado","Suficiente",9,"MPM.S04001-Est.Doc.Mestrado",60,4
201,27,13,"1","2003","Aprovado","Suficiente",9,"MPM.S04003-Sem.Pesq.Mestrado",60,4
202,27,32,"1","2004","Aprovado","Suficiente",,"MPM.S20001",600,40
203,28,10,"1","2003","Aprovado","Suficiente",8.80000019073486,"MPM.S04002-Princípios de Epidemiologia",60,4
204,28,9,"1","2003","Aprovado","Suficiente",9.80000019073486,"MPM.S02001-Bioestatística",30,2
205,28,11,"2","2003","Aprovado","Suficiente",7,"MPM.S02002-Met.Pes.Científica",30,2
206,28,12,"2","2003","Aprovado","Suficiente",10,"MPM.S03002.Seminário de Est.Tem.Cie.Med",90,6
207,28,14,"2","2003","Aprovado","Suficiente",10,"MPM.S04001-Estágio Doc.Mestrado",60,4
208,28,13,"2","2003","Aprovado","Suficiente",8,"MPM.S04003-Sem Pesq do Mestrado ",60,4
209,28,25,"1","2004","Aprovado","Suficiente",10,"MPM.S02010",60,4
210,28,32,"2","2005","Aprovado","Suficiente",,"MPM.S20001",600,40
211,29,10,"1","2003","Aprovado","Suficiente",7,"MPM.S04002-Princípios de Epidemiologia",60,4
212,29,9,"1","2003","Aprovado","Suficiente",9.5,"MPM.S02001-Bioestatística",30,2
213,29,11,"1","2003","Aprovado","Suficiente",7.69999980926514,"MPM.S02002-Met.Pesq. Científica",30,2
214,29,12,"1","2004","Aprovado","Suficiente",9,"MPM.S03002-Seminário Est.Tem.Cie.Med",90,6
215,29,14,"1","2004","Aprovado","Suficiente",9,"MPM.S04001-Est.Doc.do Mestrado",60,4
216,29,13,"2","2003","Aprovado","Suficiente",8,"MPM.S04003-Sem.Pesq.do Mestrado",60,4
217,29,25,"2","2003","Aprovado","Suficiente",7.5,"MPM.S02010",30,2
218,29,17,"2","2003","Aprovado","Suficiente",9.19999980926514,"MPM.S02009",60,4
219,29,32,"2","2005","Aprovado","Suficiente",,"MPM.S20001",600,40
220,30,10,"1","2003","Aprovado","Suficiente",7.59999990463257,"MPM.S04002-Princípios de Epidemiologia",60,4
221,30,9,"1","2003","Aprovado","Suficiente",7,"MPM.S02001-Bioestatística",30,2
222,30,11,"1","2003","Aprovado","Suficiente",7.69999980926514,"MPM.S02002-Metod da Pesq.Científica",30,2
223,30,24,"2","2003","Aprovado","Suficiente",10,"MPM.S.03.004",90,6
224,30,12,"1","2003","Aprovado","Suficiente",10,"MPM.S03002-Semininário.Est.Tem.Cie.Med",90,6
225,30,14,"1","2003","Aprovado","Suficiente",10,"MPM.S04001-Estag.Doc.do Mestrado",60,4
226,30,13,"1","2003","Aprovado","Suficiente",6,"MPM.S04003-Sem. de Pesq. do Mestrado",60,4
227,30,32,"1","2005","Aprovado","Suficiente",,"MPM.S20001",600,40
228,31,9,"1","2006","Aprovado","Suficiente",7.90000009536743,"",60,4
229,31,10,"1","2006","Aprovado","Suficiente",69,"",60,4
230,31,11,"1","2006","Aprovado","Suficiente",9.5,"",30,2
231,31,12,"2","2006","Aprovado","Suficiente",10,"",150,10
232,31,13,"1","2006","Aprovado","Suficiente",10,"",60,4
233,31,29,"2","2006","Aprovado","Suficiente",9,"",30,2
234,31,30,"1","2007","Aprovado","Suficiente",10,"",30,2
235,31,14,"2","2006","Aprovado","Suficiente",10,"",60,4
236,31,26,"2","2006","Aprovado","Suficiente",9.60000038146973,"",30,2
237,31,32,"1","2007","Aprovado","Suficiente",,"",540,36
238,32,10,"1","2003","Aprovado","Suficiente",8.80000019073486,"MPM.S04002-Princípios de Epidemiologia",60,4
239,32,9,"1","2003","Aprovado","Suficiente",9.80000019073486,"MPM.S02001-Bioestatística",30,2
240,32,11,"1","2003","Aprovado","Suficiente",9.19999980926514,"MPM.S02002-Met da Pesq.Científica",30,2
241,32,13,"1","2003","Aprovado","Suficiente",8,"MPM.S04003-Sem.Pes. do Mestrado",60,4
242,32,12,"1","2003","Aprovado","Suficiente",9.5,"MPM.S03002-Seminário de Est.Tem.Cie.Med",90,6
243,32,14,"2","2003","Aprovado","Suficiente",9,"MPM.S04001-Est.Doc.Mestrado",60,4
244,32,25,"2","2003","Aprovado","Suficiente",9.5,"MPM.S02010",30,2
245,33,14,"1","2003","Aprovado","Suficiente",9.5,"MPMS04.001-Est.Doc. do Mestrado",60,4
246,33,10,"1","2003","Reprovado","Insuficiente",,"MPMS04.002-Princípios de Epidemiologia",60,4
247,33,9,"1","2003","Reprovado","Insuficiente",,"MPMS02.001-Bioestatística",30,2
248,33,11,"1","2003","Reprovado","Insuficiente",,"MPMS02.002-Met.Pesq.Científica",30,2
249,33,12,"1","2003","Reprovado","Insuficiente",,"MPMS03.002-Seminário de Est.Tem.Cie.Med",90,6
250,34,10,"1","2003","Aprovado","Suficiente",8.5,"MPM.S04002-Princípios de Epidemiologia",60,4
251,34,9,"1","2003","Aprovado","Suficiente",8.5,"MPM.S02001-Bioestatística",30,2
252,34,11,"1","2003","Aprovado","Suficiente",8.5,"MPM.S02002-Met,Pesq.Científica",30,2
253,34,13,"2","2003","Aprovado","Suficiente",7,"MPM.S04003-Seminário de Pesq.do Mestrado",60,4
254,34,20,"2","2003","Aprovado","Suficiente",9.5,"MPM.S02004",60,4
255,34,14,"2","2003","Aprovado","Suficiente",9.5,"MPM.S04001-Est.Doc.do Mestrado",60,4
256,34,12,"1","2003","Reprovado","Insuficiente",,"MPM.S03002-Seminário de Est.Tem.Cie.Med",90,6
257,35,14,"2","2004","Aprovado","Suficiente",9,"MPM.S04001-Est.Doc. do Mestrado",60,4
258,35,12,"2","2003","Aprovado","Suficiente",9,"MPM.S03002-Seminário de est.Tem Cie.Med",90,6
259,35,13,"2","2003","Aprovado","Suficiente",8,"MPM.S04003-Sem. Pesq.Mestrado",60,4
260,35,11,"1","2004","Aprovado","Suficiente",9.60000038146973,"MPM.S02002-Met.Pesq.Científica",30,2
261,35,9,"1","2004","Aprovado","Suficiente",7,"MPM.S02001-Bioestatística",30,2
262,35,10,"1","2004","Aprovado","Suficiente",7,"MPM.S04002-Princípios de Epidemiologia",60,4
263,35,17,"2","2003","Aprovado","Suficiente",8.39999961853027,"MPMS02.009",60,4
264,35,24,"2","2003","Aprovado","Suficiente",10,"MPMS03004",90,6
265,35,27,"2","2004","Aprovado","Suficiente",8,"",30,2
276,37,9,"1","2006","Aprovado","Suficiente",8,"",60,4
277,37,10,"1","2006","Aprovado","Suficiente",8.21000003814697,"",60,4
278,37,11,"1","2006","Aprovado","Suficiente",8,"",30,2
279,37,12,"1","2006","Aprovado","",10,"",150,10
280,37,13,"1","2006","Aprovado","Suficiente",10,"",60,4
281,37,29,"2","2006","Aprovado","Suficiente",10,"",30,2
282,37,30,"1","2007","Aprovado","",10,"",30,2
283,37,31,"2","2007","Aprovado","",10,"",30,2
284,37,14,"1","2007","Aprovado","",10,"",60,4
285,38,9,"1","2006","Aprovado","Suficiente",8.69999980926514,"",60,4
286,38,10,"1","2006","Aprovado","Suficiente",7,"",60,4
287,38,25,"1","2006","Aprovado","Suficiente",10,"",60,4
288,38,11,"1","2006","Aprovado","Suficiente",6,"",30,2
289,38,12,"2","2006","Aprovado","Suficiente",10,"",150,10
290,38,13,"1","2006","Aprovado","Suficiente",10,"",60,4
291,38,29,"2","2006","Aprovado","Suficiente",9,"",30,2
292,38,30,"1","2007","Aprovado","",9.80000019073486,"",30,2
293,38,31,"2","2007","Aprovado","",10,"",30,2
294,39,9,"1","2006","Aprovado","Suficiente",7.59999990463257,"",60,4
295,39,10,"1","2006","Aprovado","Suficiente",7,"",60,4
296,39,11,"1","2006","Aprovado","Suficiente",8,"",30,2
297,39,12,"1","2006","Aprovado","Suficiente",9,"",150,10
298,39,21,"1","2006","Aprovado","Suficiente",9,"",30,2
299,39,14,"1","2006","Aprovado","Suficiente",9,"",60,4
300,39,13,"1","2006","Aprovado","Suficiente",9,"",60,4
301,39,29,"2","2006","Aprovado","",9,"",30,2
302,39,30,"1","2007","Aprovado","",10,"",30,2
303,39,31,"2","2007","Aprovado","",8,"",30,2
304,40,9,"1","2006","Aprovado","Suficiente",7,"",60,4
305,40,10,"1","2006","Aprovado","Suficiente",7,"",60,4
306,40,24,"1","2006","Aprovado","Suficiente",9.5,"",90,6
307,40,11,"1","2006","Aprovado","Suficiente",6,"",30,2
308,40,12,"1","2006","Aprovado","Suficiente",9.5,"",150,10
309,40,14,"1","2006","Aprovado","Suficiente",10,"",60,4
310,40,18,"2","2006","Aprovado","Suficiente",10,"",30,2
311,40,13,"1","2006","Aprovado","Suficiente",8,"",60,4
312,40,29,"2","2006","Aprovado","Suficiente",8.5,"",30,2
313,40,30,"1","2007","Aprovado","",8,"",30,2
314,40,31,"2","2007","Aprovado","",10,"",30,2
315,41,9,"2","2006","Aprovado","Suficiente",9,"",60,4
316,41,10,"2","2006","Aprovado","Suficiente",7,"",60,4
317,41,11,"2","2006","Aprovado","Suficiente",7,"",60,4
318,41,28,"2","2006","Aprovado","Suficiente",8,"",45,3
319,41,12,"1","2007","Aprovado","",10,"",150,15
320,41,14,"1","2008","Aprovado","",10,"",60,4
321,41,13,"2","2006","Aprovado","Suficiente",10,"",60,4
322,41,29,"1","2007","Aprovado","",10,"",30,2
323,41,30,"2","2007","Aprovado","",10,"",30,2
324,42,9,"1","2007","Aprovado","Suficiente",9.5,"",60,4
325,42,10,"1","2007","Aprovado","Suficiente",6,"",60,4
326,42,11,"1","2007","Aprovado","Suficiente",7.5,"",60,4
327,42,13,"1","2007","Aprovado","",10,"",60,4
328,42,29,"2","2007","Aprovado","",7,"",30,2
329,43,9,"1","2007","Aprovado","Suficiente",8.60000038146973,"",60,4
330,43,10,"1","2007","Aprovado","Suficiente",7.69999980926514,"",60,4
331,43,11,"1","2007","Aprovado","Suficiente",7,"",60,4
332,43,12,"1","2007","Aprovado","",10,"",150,10
333,43,13,"1","2007","Aprovado","",10,"",60,4
334,43,29,"2","2007","Aprovado","",10,"",30,2
335,43,14,"1","2007","Aprovado","",10,"",60,4
336,44,10,"1","2007","Aprovado","",9.19999980926514,"",60,4
337,44,9,"1","2007","Aprovado","",7.80000019073486,"",60,4
338,44,11,"1","2008","Aprovado","Suficiente",7.80000019073486,"",60,4
